Titles,Readers,Suggested,Minimum
Platform Strategy,2258,26.00,16.00
CCIE Service Provider Version 4 Written and Lab Exam Comprehensive Guide,879,300.00,200.00
The Hundred-Page Machine Learning Book,0,40.00,20.00
OpenIntro Statistics,385558,15.00,0.00
CCIE SP v5.0,333,450.00,450.00
Rector - The Power of Automated Refactoring,0,49.00,49.00
Modern frontends with htmx,0,34.99,34.99
C++23 Best Practices,128,14.99,7.99
Least Squares & Regression: The Basics Using R (2nd Edition),0,25.00,30.00
A Guide to Artificial Intelligence in Healthcare,2976,24.90,12.49
Machine Learning Engineering,0,40.00,20.00
Introduction to Data Science,154874,49.99,0.00
